candidate,Washington,Wisconsin,West Virginia,Florida,Wyoming,New Hampshire,New Jersey,New Mexico,North Carolina,North Dakota,Nebraska,New York,Rhode Island,Nevada,Colorado,California,Georgia,Connecticut,Oklahoma,Ohio,Kansas,South Carolina,Kentucky,Oregon,South Dakota,Delaware,Hawaii,Texas,Louisiana,Tennessee,Pennsylvania,Virginia,Alaska,Alabama,Arkansas,Vermont,Illinois,Indiana,Iowa,Arizona,Idaho,Maine,Maryland,Massachusetts,Utah,Missouri,Minnesota,Michigan,Montana,Mississippi
bernie-sanders,33.33333333333333,11.11111111111111,33.33333333333333,21.875,,,11.11111111111111,,10.344827586206897,,100.0,18.461538461538463,,22.22222222222222,38.46153846153847,8.045977011494253,14.285714285714285,,,36.84210526315789,16.666666666666664,3.8461538461538463,14.285714285714285,40.0,,,,15.0,,6.666666666666667,21.73913043478261,,,10.0,,50.0,13.043478260869565,11.11111111111111,,17.647058823529413,50.0,,14.285714285714285,26.08695652173913,14.285714285714285,40.0,,21.428571428571427,,
hillary-clinton,16.666666666666664,11.11111111111111,16.666666666666664,18.75,,,33.33333333333333,50.0,13.793103448275861,,,27.692307692307693,100.0,22.22222222222222,38.46153846153847,25.287356321839084,14.285714285714285,,11.11111111111111,21.052631578947366,16.666666666666664,3.8461538461538463,14.285714285714285,20.0,,,,20.0,,26.666666666666668,13.043478260869565,11.76470588235294,,,,50.0,26.08695652173913,33.33333333333333,62.5,11.76470588235294,,,,26.08695652173913,57.14285714285714,10.0,,14.285714285714285,,
donald-trump,16.666666666666664,44.44444444444444,50.0,21.875,,100.0,,,10.344827586206897,,,16.923076923076923,,44.44444444444444,7.6923076923076925,24.137931034482758,28.57142857142857,33.33333333333333,33.33333333333333,21.052631578947366,50.0,15.384615384615385,14.285714285714285,10.0,,,,17.5,66.66666666666666,26.666666666666668,34.78260869565217,23.52941176470588,,30.0,50.0,,8.695652173913043,22.22222222222222,,17.647058823529413,,,42.857142857142854,13.043478260869565,,20.0,60.0,28.57142857142857,,
jeb-bush,16.666666666666664,11.11111111111111,,9.375,,,55.55555555555556,50.0,51.724137931034484,,,23.076923076923077,,,7.6923076923076925,24.137931034482758,19.047619047619047,16.666666666666664,44.44444444444444,10.526315789473683,16.666666666666664,26.923076923076923,28.57142857142857,10.0,100.0,,,12.5,16.666666666666664,33.33333333333333,17.391304347826086,23.52941176470588,,40.0,50.0,,30.434782608695656,,25.0,41.17647058823529,,,,17.391304347826086,14.285714285714285,,,14.285714285714285,,
ben-carson,16.666666666666664,22.22222222222222,,28.125,,,,,13.793103448275861,100.0,,13.846153846153847,,11.11111111111111,7.6923076923076925,18.39080459770115,23.809523809523807,50.0,11.11111111111111,10.526315789473683,,50.0,28.57142857142857,20.0,,,,35.0,16.666666666666664,6.666666666666667,13.043478260869565,41.17647058823529,,20.0,,,21.73913043478261,33.33333333333333,12.5,11.76470588235294,50.0,,42.857142857142854,17.391304347826086,14.285714285714285,30.0,40.0,21.428571428571427,,
