candidate,Washington,Wisconsin,West Virginia,Florida,Wyoming,New Hampshire,New Jersey,New Mexico,North Carolina,North Dakota,Nebraska,New York,Rhode Island,Nevada,Colorado,California,Georgia,Connecticut,Oklahoma,Ohio,Kansas,South Carolina,Kentucky,Oregon,South Dakota,Delaware,Hawaii,Texas,Louisiana,Tennessee,Pennsylvania,Virginia,Alaska,Alabama,Arkansas,Vermont,Illinois,Indiana,Iowa,Arizona,Idaho,Maine,Maryland,Massachusetts,Utah,Missouri,Minnesota,Michigan,Montana,Mississippi
bernie-sanders,26.666666666666668,9.090909090909092,28.57142857142857,21.62162162162162,,25.0,20.0,,8.333333333333332,,100.0,15.384615384615385,,25.0,26.31578947368421,13.821138211382115,11.11111111111111,,,34.78260869565217,16.666666666666664,3.3333333333333335,11.11111111111111,33.33333333333333,,,100.0,15.686274509803921,,16.0,25.0,,,8.333333333333332,,33.33333333333333,14.814814814814813,25.0,,21.052631578947366,33.33333333333333,,20.0,23.333333333333332,28.57142857142857,40.0,,21.73913043478261,,33.33333333333333
hillary-clinton,20.0,9.090909090909092,14.285714285714285,18.91891891891892,,25.0,40.0,66.66666666666666,16.666666666666664,,,28.57142857142857,100.0,16.666666666666664,26.31578947368421,23.577235772357724,19.444444444444446,16.666666666666664,8.333333333333332,21.73913043478261,16.666666666666664,6.666666666666667,11.11111111111111,25.0,,,,19.607843137254903,,16.0,13.88888888888889,19.047619047619047,,,,66.66666666666666,25.925925925925924,25.0,62.5,10.526315789473683,,,10.0,23.333333333333332,42.857142857142854,10.0,,13.043478260869565,,
donald-trump,13.333333333333334,36.36363636363637,42.857142857142854,21.62162162162162,,25.0,,,8.333333333333332,,,16.483516483516482,,41.66666666666667,15.789473684210526,24.390243902439025,27.77777777777778,16.666666666666664,33.33333333333333,17.391304347826086,50.0,20.0,22.22222222222222,16.666666666666664,,,,23.52941176470588,71.42857142857143,24.0,30.555555555555557,19.047619047619047,,33.33333333333333,50.0,,7.4074074074074066,25.0,,15.789473684210526,,,30.0,13.333333333333334,,20.0,66.66666666666666,26.08695652173913,,
jeb-bush,26.666666666666668,27.27272727272727,,10.81081081081081,,,40.0,33.33333333333333,50.0,,,26.373626373626376,,,21.052631578947366,22.76422764227642,19.444444444444446,16.666666666666664,33.33333333333333,13.043478260869565,16.666666666666664,23.333333333333332,33.33333333333333,8.333333333333332,100.0,,,9.803921568627452,14.285714285714285,28.000000000000004,16.666666666666664,19.047619047619047,,41.66666666666667,50.0,,33.33333333333333,,25.0,42.10526315789473,33.33333333333333,,,16.666666666666664,14.285714285714285,,,13.043478260869565,,33.33333333333333
ben-carson,13.333333333333334,18.181818181818183,14.285714285714285,27.027027027027028,,25.0,,,16.666666666666664,100.0,,13.186813186813188,,16.666666666666664,10.526315789473683,15.447154471544716,22.22222222222222,50.0,25.0,13.043478260869565,,46.666666666666664,22.22222222222222,16.666666666666664,,,,31.372549019607842,14.285714285714285,16.0,13.88888888888889,42.857142857142854,,16.666666666666664,,,18.51851851851852,25.0,12.5,10.526315789473683,33.33333333333333,,40.0,23.333333333333332,14.285714285714285,30.0,33.33333333333333,26.08695652173913,,33.33333333333333
